COMPANYID,PESEQUENCENO,CASENO,PROJECTNO,PARENTBLOCKNO,CHILDBLOCKNO,CHILDBLOCKTYPE,PEORDER,PELAG,PEDATE,EQUIPMENTCODE,EQUIPMENTDATE,EQUIPMENTTIME,NUMOFEQUIPMENT,ACTUALPEDATE,CREATEDATE,CREATEUSER,UPDATEDATE,UPDATEUSER
D,95909875,2020-36-04,5466,20J,739,B,3,1,2020-01-22,GCNO4C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909876,2020-36-04,5466,20K,741,B,2,1,2020-01-23,GCNO4C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909877,2020-36-04,5466,20L,742,B,2,1,2020-01-30,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909878,2020-36-04,5466,20M,743,B,5,5,2020-02-03,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909879,2020-36-04,5466,20N,744,B,6,8,2020-01-30,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909880,2020-36-04,5466,20K,751,B,3,1,2020-01-23,GCNO4C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909881,2020-36-04,5466,20L,752,B,3,1,2020-01-30,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909882,2020-36-04,5466,20M,753,B,6,5,2020-02-03,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909883,2020-36-04,5466,20N,754,B,5,8,2020-01-30,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909884,2020-36-04,5466,80A,801,B,1,0,2020-02-04,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909885,2020-36-04,5466,80A,802,B,4,2,2020-02-06,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909886,2020-36-04,5466,80B,803,B,3,3,2020-02-10,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909887,2020-36-04,5466,80C,804,B,5,2,2020-02-12,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909888,2020-36-04,5466,80D,805,B,3,1,2020-02-12,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909889,2020-36-04,5466,80D,811,B,4,4,2020-02-15,TTNO1T00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909893,2020-36-04,5466,80C,824,B,1,0,2020-02-10,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909890,2020-36-04,5466,80D,812,B,5,4,2020-02-15,TTNO1T00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909891,2020-36-04,5466,80A,822,B,2,1,2020-02-05,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909892,2020-36-04,5466,80B,823,B,1,0,2020-02-07,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909894,2020-36-04,5466,80C,825,B,3,1,2020-02-11,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909895,2020-36-04,5466,80D,826,B,1,0,2020-02-11,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909896,2020-36-04,5466,80A,832,B,3,1,2020-02-05,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909897,2020-36-04,5466,80B,833,B,2,0,2020-02-07,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909898,2020-36-04,5466,80C,834,B,2,0,2020-02-10,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909899,2020-36-04,5466,80C,835,B,4,1,2020-02-11,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909900,2020-36-04,5466,80D,836,B,2,0,2020-02-11,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
