COMPANYID,RELATIONNO,CASENO,PROJECTNO,PREVACTIVITYCODE,NEXTACTIVITYCODE,RELATIONTYPE,LAG,LOCATIONCODE,LOCATIONTYPE
D,1114171699,2020-36-04,5466,P143BC00,P143BP00,FS,1,143,B
D,1114171700,2020-36-04,5466,Z144ZBI0,P144BC00,FS,3,144,B
D,1114171701,2020-36-04,5466,P144BC00,P144BP00,FS,1,144,B
D,1114171702,2020-36-04,5466,Z145ZBI0,P145BC00,FS,1,145,B
D,1114171703,2020-36-04,5466,P145BC00,P145BP00,FS,1,145,B
D,1114171704,2020-36-04,5466,Z152ZBI0,P152BC00,FS,1,152,B
D,1114171705,2020-36-04,5466,P152BC00,P152BP00,FS,1,152,B
D,1114171706,2020-36-04,5466,Z153ZBI0,P153BC00,FS,6,153,B
D,1114171707,2020-36-04,5466,P153BC00,P153BP00,FS,1,153,B
D,1114171708,2020-36-04,5466,Z154ZBI0,P154BC00,FS,5,154,B
D,1114171709,2020-36-04,5466,P154BC00,P154BP00,FS,1,154,B
D,1114171710,2020-36-04,5466,Z155ZBI0,P155BC00,FS,1,155,B
D,1114171711,2020-36-04,5466,P155BC00,P155BP00,FS,1,155,B
D,1114171712,2020-36-04,5466,Z161ZBI0,P161BC00,FS,4,161,B
D,1114171713,2020-36-04,5466,P161BC00,P161BP00,FS,1,161,B
D,1114170974,2020-36-04,5466,C171CC00,C171CP00,SS,-1,171,B
D,1114172231,2020-36-04,5466,S171A000,W171GS00,SS,0,171,B
D,1114171716,2020-36-04,5466,Z182ZBI0,P182BC00,FS,1,182,B
D,1114171717,2020-36-04,5466,P182BC00,P182BP00,FS,1,182,B
D,1114171718,2020-36-04,5466,Z183ZBI0,P183BC00,FS,3,183,B
D,1114171719,2020-36-04,5466,P183BC00,P183BP00,FS,1,183,B
D,1114171720,2020-36-04,5466,Z192ZBI0,P192BC00,FS,1,192,B
D,1114171721,2020-36-04,5466,P192BC00,P192BP00,FS,1,192,B
D,1114171722,2020-36-04,5466,Z193ZBI0,P193BC00,FS,3,193,B
D,1114171723,2020-36-04,5466,P193BC00,P193BP00,FS,1,193,B
D,1114171724,2020-36-04,5466,W203GA00,P203BC00,FS,6,203,B
D,1114171725,2020-36-04,5466,P203BC00,P203BP00,FS,1,203,B
D,1114171726,2020-36-04,5466,W204GA00,P204BC00,FS,6,204,B
D,1114171727,2020-36-04,5466,P204BC00,P204BP00,FS,1,204,B
D,1114171728,2020-36-04,5466,W205GA00,P205BC00,FS,5,205,B
D,1114171729,2020-36-04,5466,P205BC00,P205BP00,FS,1,205,B
D,1114171730,2020-36-04,5466,W206GA00,P206BC00,FS,2,206,B
D,1114171731,2020-36-04,5466,P206BC00,P206BP00,FS,1,206,B
D,1114171732,2020-36-04,5466,W207GA00,P207BC00,FS,9,207,B
D,1114171733,2020-36-04,5466,P207BC00,P207BP00,FS,1,207,B
D,1114171734,2020-36-04,5466,W208GA00,P208BC00,FS,4,208,B
D,1114171735,2020-36-04,5466,P208BC00,P208BP00,FS,1,208,B
D,1114171736,2020-36-04,5466,W209GA00,P209BC00,FS,11,209,B
D,1114171737,2020-36-04,5466,P209BC00,P209BP00,FS,1,209,B
D,1114171743,2020-36-04,5466,W211GA00,P211BC00,FS,12,211,B
D,1114171744,2020-36-04,5466,P211BC00,P211BP00,FS,1,211,B
D,1114171745,2020-36-04,5466,W212GA00,P212BC00,FS,10,212,B
D,1114171746,2020-36-04,5466,P212BC00,P212BP00,FS,1,212,B
D,1114171747,2020-36-04,5466,W221GA00,P221BC00,FS,2,221,B
