COMPANYID,CASENO,PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,STAGECODE,FLAGCODE,PROCESSCODE,PROCESSSERNO,SHOPCODE,WORKCODE,SECTCODE,PLANSTARTDATE,PLANFINISHDATE,PLANDURATION,LAG,MH1,VOL1,VOL2,RELATIONTYPE,PREVSTAGECODE,PREVFLAGCODE,PREVPROCESSCODE,PREVPROCESSSERNO,RELATIONNO
D,2020-36-04,5466,U161GB00,161,B,B,U,G,B00,OOS,WBER,3103,2019-10-21,2019-10-30,8,-7,0,0,0,SS,B,W,G,B00,1114172116
D,2020-36-04,5466,Z133ZBI0,133,B,B,Z,Z,BI0,TEX,ESCF,2901,2019-12-02,2019-12-04,3,2,65.8,329.5,0,FS,B,W,G,B00,1114172655
D,2020-36-04,5466,C632CC00,632,B,J,C,C,C00,CTS,CCBK,2100,2019-11-04,2019-11-27,18,-7,14.9,195.6,0,SS,B,S,A,000,1114171185
D,2020-36-04,5466,P824BP00,824,B,B,P,B,P00,NO1,PBPT,6200,2020-01-29,2020-02-06,7,1,44.1,2105.3,2381.4,FS,B,P,B,C00,1114172031
D,2020-36-04,5466,C155CP00,155,B,J,C,C,P00,CTS,CPBK,2100,2019-10-17,2019-11-27,30,-1,0,0,0,SS,J,C,C,C00,1114170970
D,2020-36-04,5466,P155BP00,155,B,B,P,B,P00,PSA,PBPT,9999,2019-12-16,2019-12-24,7,1,60.7,1297.6,0,FS,B,P,B,C00,1114171711
D,2020-36-04,5466,Z155ZBR0,155,B,B,Z,Z,BR0,PSA,ESCF,9999,2019-12-26,2019-12-26,1,1,7.4,86.5,0,FS,B,P,B,P00,1114172680
D,2020-36-04,5466,S155A000,155,B,B,S,A,000,PSA,SBBK,####,2019-10-30,2019-12-10,30,,378.6,957.5,0,,,,,,
D,2020-36-04,5466,P155BC00,155,B,B,P,B,C00,PSA,PBBT,9999,2019-12-13,2019-12-13,1,1,43.5,723.5,1034.9,FS,B,Z,Z,BI0,1114171710
D,2020-36-04,5466,P643BP00,643,B,B,P,B,P00,NO1,PBPT,6200,2020-01-21,2020-02-03,7,1,1.3,6725,0,FS,B,P,B,C00,1114171981
D,2020-36-04,5466,C125CP00,125,B,J,C,C,P00,CTS,CPBK,2100,2019-10-11,2019-11-27,34,-1,3.4,0,0,SS,J,C,C,C00,1114170944
D,2020-36-04,5466,P251BC00,251,B,B,P,B,C00,NTA,PBBT,6200,2020-01-14,2020-01-14,1,5,127.2,3847.7,3601.7,FS,B,Z,Z,BI0,1114171795
