COMPANYID,CASENO,PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,STAGECODE,FLAGCODE,PROCESSCODE,PROCESSSERNO,SHOPCODE,WORKCODE,SECTCODE,PLANSTARTDATE,PLANFINISHDATE,PLANDURATION,LAG,MH1,VOL1,VOL2,RELATIONTYPE,PREVSTAGECODE,PREVFLAGCODE,PREVPROCESSCODE,PREVPROCESSSERNO,RELATIONNO
D,2020-36-04,5466,P23APP00,23A,P,P,P,P,P00,NO1,PH00,6302,2019-12-31,2020-01-06,3,1,124.8,0,0,FS,P,W,O,P00,1114318219
D,2020-36-04,5466,T23AO000,23A,P,P,T,O,000,NO1,####,####,2019-12-09,2020-01-10,22,,0,0,0,,,,,,
D,2020-36-04,5466,E50LPS00,50L,P,P,E,P,S00,NO1,EHPS,4100,2020-01-21,2020-01-31,6,0,23.9,,0,SS,P,E,P,000,1114318221
D,2020-36-04,5466,E50LP000,50L,P,P,E,P,000,NO1,EHPT,4100,2020-01-21,2020-02-03,7,0,74.4,39.6,0,SS,P,T,O,000,1114318222
D,2020-36-04,5466,T50LO000,50L,P,P,T,O,000,NO1,####,####,2020-01-21,2020-02-11,13,,0,0,0,,,,,,
D,2020-36-04,5466,A50NO000,50N,P,P,A,O,000,NO1,####,####,2020-01-22,2020-02-10,11,0,0,0,0,SS,P,E,P,000,1114318224
D,2020-36-04,5466,Z50AZPR0,50A,P,P,Z,Z,PR0,NO1,ESCF,2901,2020-02-04,2020-02-04,1,1,44.6,48,0,FS,P,P,P,P00,1114318225
D,2020-36-04,5466,E50NPG00,50N,P,P,E,P,G00,NO1,EHPF,4100,2020-01-29,2020-01-31,3,2,33.8,37.5,0,SS,P,E,P,000,1114318226
D,2020-36-04,5466,Z13DZPR0,13D,P,P,Z,Z,PR0,NO1,ESCF,2901,2020-01-23,2020-01-23,1,1,145.1,129,0,FS,P,P,P,P00,1114318227
D,2020-36-04,5466,Z62CZPI0,62C,P,P,Z,Z,PI0,NO1,ESCF,2901,2019-12-16,2019-12-24,7,0,159.4,133.2,0,SS,P,E,P,000,1114318228
D,2020-36-04,5466,Z62CZPR0,62C,P,P,Z,Z,PR0,NO1,ESCF,2901,2020-01-10,2020-01-10,1,1,78.8,84.3,0,FS,P,P,P,P00,1114318229
D,2020-36-04,5466,E90AP000,90A,P,P,E,P,000,SHD,EHPT,9020,2019-09-23,2019-11-15,39,0,1620.3,1297.1,711,SS,P,T,O,000,1114318230
D,2020-36-04,5466,E63DPM00,63D,P,P,E,P,M00,NO1,EHPS,4100,2020-01-16,2020-01-17,2,,8,,0,,,,,,
D,2020-36-04,5466,P62DPP00,62D,P,P,P,P,P00,NO1,PH00,6302,2020-01-10,2020-01-14,3,1,145.1,0,0,FS,P,W,O,P00,1114318232
D,2020-36-04,5466,T63DO000,63D,P,P,T,O,000,NO1,####,####,2019-12-23,2020-01-17,17,,0,0,0,,,,,,
D,2020-36-04,5466,Z63DZPI0,63D,P,P,Z,Z,PI0,NO1,ESCF,2901,2019-12-23,2019-12-27,4,0,121.7,101,0,SS,P,E,P,000,1114318234
D,2020-36-04,5466,Z63DZPR0,63D,P,P,Z,Z,PR0,NO1,ESCF,2901,2020-01-15,2020-01-15,1,1,64,68.7,0,FS,P,P,P,P00,1114318235
D,2020-36-04,5466,W63DOP00,63D,P,P,W,O,P00,NO1,####,####,2019-12-23,2020-01-10,12,0,0,0,0,SS,P,E,P,000,1114318236
D,2020-36-04,5466,A63DO000,63D,P,P,A,O,000,NO1,####,####,2019-12-23,2020-01-17,17,0,0,0,0,SS,P,E,P,000,1114318237
D,2020-36-04,5466,E63DP000,63D,P,P,E,P,000,NO1,EHPT,4100,2019-12-23,2020-01-08,10,0,143.3,111.2,0,SS,P,T,O,000,1114318238
D,2020-36-04,5466,E63DPG00,63D,P,P,E,P,G00,NO1,EHPF,4100,2019-12-26,2020-01-08,8,2,108.5,111.2,0,SS,P,E,P,000,1114318239
D,2020-36-04,5466,E63DPS00,63D,P,P,E,P,S00,NO1,EHPS,4100,2019-12-23,2020-01-06,8,0,26.8,,0,SS,P,E,P,000,1114318240
D,2020-36-04,5466,P63DPP00,63D,P,P,P,P,P00,NO1,PH00,6302,2020-01-10,2020-01-14,3,0,145.1,0,0,FS,P,W,O,P00,1114318241
D,2020-36-04,5466,A431O000,431,P,N,A,O,000,NO1,####,####,2019-09-04,2019-09-11,6,-60,0,0,0,SS,N,W,O,N00,1114318242
D,2020-36-04,5466,T421O000,421,P,N,T,O,000,NO1,####,####,2019-09-02,2019-09-09,6,,0,0,0,,,,,,
D,2020-36-04,5466,T50FO000,50F,P,P,T,O,000,NO1,####,####,2020-01-20,2020-02-05,10,,0,0,0,,,,,,
D,2020-36-04,5466,T13EO000,13E,P,P,T,O,000,NO1,####,####,2019-12-31,2020-02-03,20,,0,0,0,,,,,,
D,2020-36-04,5466,W23AOP00,23A,P,P,W,O,P00,NO1,####,####,2019-12-09,2019-12-30,15,0,0,0,0,SS,P,E,P,000,1114318246
D,2020-36-04,5466,E20NPS00,20N,P,P,E,P,S00,NO1,EHPS,4100,2020-01-23,2020-02-17,15,0,97,,0,SS,P,E,P,000,1114318247
D,2020-36-04,5466,Z50BZPI0,50B,P,P,Z,Z,PI0,NO1,ESCF,2901,2020-01-20,2020-01-21,2,0,9.1,8,0,SS,P,E,P,000,1114318248
D,2020-36-04,5466,E50DP000,50D,P,P,E,P,000,NO1,EHPT,4100,2020-01-10,2020-01-21,8,0,65.3,29.3,0,SS,P,T,O,000,1114318249
D,2020-36-04,5466,Z10AZPR0,10A,P,P,Z,Z,PR0,NO1,ESCF,2901,2019-12-06,2019-12-06,1,1,106.2,112,0,FS,P,P,P,P00,1114318250
D,2020-36-04,5466,E23BPG00,23B,P,P,E,P,G00,NO1,EHPF,4100,2019-12-11,2019-12-31,14,2,172.9,168.1,0,SS,P,E,P,000,1114318251
D,2020-36-04,5466,E50DPG00,50D,P,P,E,P,G00,NO1,EHPF,4100,2020-01-10,2020-01-17,6,0,28.9,29.3,0,SS,P,E,P,000,1114318252
D,2020-36-04,5466,E50DPS00,50D,P,P,E,P,S00,NO1,EHPS,4100,2020-01-10,2020-01-17,6,0,28.2,,0,SS,P,E,P,000,1114318253
