COMPANYID,RELATIONNO,CASENO,PROJECTNO,PREVACTIVITYCODE,NEXTACTIVITYCODE,RELATIONTYPE,PITCH,LAG,NETWORKID,LOCATIONCODE,LOCATIONTYPE,CREATEDATE,CREATEUSER,UPDATEDATE,UPDATEUSER,FLAGCODE,PROCESSCODE,PROCESSSERNO
D,1114172001,2020-36-04,5466,Z671ZBI0,P671BC00,FS,,1,,671,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114172002,2020-36-04,5466,P671BC00,P671BP00,FS,,1,,671,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172003,2020-36-04,5466,Z671ZBR0,P671BP01,FS,,1,,671,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172004,2020-36-04,5466,W721GA00,P721BC00,FS,,6,,721,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172005,2020-36-04,5466,P721BC00,P721BP00,FS,,1,,721,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172006,2020-36-04,5466,W731GA00,P731BC00,FS,,2,,731,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172007,2020-36-04,5466,P731BC00,P731BP00,FS,,1,,731,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172008,2020-36-04,5466,Z801ZBI0,P801BC00,FS,,4,,801,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114172009,2020-36-04,5466,P801BC00,P801BP00,FS,,1,,801,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172010,2020-36-04,5466,Z802ZBI0,P802BC00,FS,,5,,802,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114172011,2020-36-04,5466,P802BC00,P802BP00,FS,,1,,802,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172012,2020-36-04,5466,W803GA00,P803BC00,FS,,11,,803,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172013,2020-36-04,5466,P803BC00,P803BP00,FS,,1,,803,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172014,2020-36-04,5466,W804GA00,P804BC00,FS,,12,,804,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172015,2020-36-04,5466,P804BC00,P804BP00,FS,,1,,804,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172016,2020-36-04,5466,Z805ZBI0,P805BC00,FS,,1,,805,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172017,2020-36-04,5466,P805BC00,P805BP00,FS,,1,,805,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114318294,2020-36-04,5466,W80AOP00,P80APP00,FS,,1,,80A,P,2020-04-21,1008003,,,,,
D,1114318332,2020-36-04,5466,W80BOP00,P80BPP00,FS,,1,,80B,P,2020-04-21,1008003,,,,,
D,1114318384,2020-36-04,5466,W80COP00,P80CPP00,FS,,1,,80C,P,2020-04-21,1008003,,,,,
D,1114318374,2020-36-04,5466,W80DOP00,P80DPP00,FS,,1,,80D,P,2020-04-21,1008003,,,,,
D,1114172022,2020-36-04,5466,W811GA00,P811BC00,FS,,2,,811,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172023,2020-36-04,5466,P811BC00,P811BP00,FS,,1,,811,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172024,2020-36-04,5466,W812GA00,P812BC00,FS,,7,,812,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172025,2020-36-04,5466,P812BC00,P812BP00,FS,,1,,812,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172026,2020-36-04,5466,Z822ZBI0,P822BC00,FS,,3,,822,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114172027,2020-36-04,5466,P822BC00,P822BP00,FS,,1,,822,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172028,2020-36-04,5466,Z823ZBI0,P823BC00,FS,,3,,823,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114172029,2020-36-04,5466,P823BC00,P823BP00,FS,,1,,823,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172030,2020-36-04,5466,Z824ZBI0,P824BC00,FS,,4,,824,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114172031,2020-36-04,5466,P824BC00,P824BP00,FS,,1,,824,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172032,2020-36-04,5466,Z825ZBI0,P825BC00,FS,,1,,825,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114172033,2020-36-04,5466,P825BC00,P825BP00,FS,,1,,825,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172034,2020-36-04,5466,Z826ZBI0,P826BC00,FS,,2,,826,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114172035,2020-36-04,5466,P826BC00,P826BP00,FS,,1,,826,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172036,2020-36-04,5466,Z832ZBI0,P832BC00,FS,,3,,832,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114172037,2020-36-04,5466,P832BC00,P832BP00,FS,,1,,832,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172038,2020-36-04,5466,Z833ZBI0,P833BC00,FS,,3,,833,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114172039,2020-36-04,5466,P833BC00,P833BP00,FS,,1,,833,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172040,2020-36-04,5466,Z834ZBI0,P834BC00,FS,,3,,834,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114172041,2020-36-04,5466,P834BC00,P834BP00,FS,,1,,834,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172042,2020-36-04,5466,Z835ZBI0,P835BC00,FS,,1,,835,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114172043,2020-36-04,5466,P835BC00,P835BP00,FS,,1,,835,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172044,2020-36-04,5466,Z836ZBI0,P836BC00,FS,,3,,836,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114172045,2020-36-04,5466,P836BC00,P836BP00,FS,,1,,836,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172046,2020-36-04,5466,W8X1GA00,P8X1BC00,FS,,7,,8X1,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172047,2020-36-04,5466,P8X1BC00,P8X1BP00,FS,,1,,8X1,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172048,2020-36-04,5466,W904GB00,P904BC00,FS,,1,,904,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172049,2020-36-04,5466,P904BC00,P904BP00,FS,,1,,904,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172050,2020-36-04,5466,W905GB00,P905BC00,FS,,1,,905,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172051,2020-36-04,5466,P905BC00,P905BP00,FS,,1,,905,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172052,2020-36-04,5466,W906GB00,P906BC00,FS,,1,,906,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172053,2020-36-04,5466,P906BC00,P906BP00,FS,,1,,906,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114318441,2020-36-04,5466,W90AOP00,P90APP00,FS,,-21,,90A,P,2020-04-21,1008003,,,,,
D,1114172055,2020-36-04,5466,W910GB00,P910BC00,FS,,4,,910,B,2020-04-20,1007589,2020-04-20,1007589,,,
