PROJECTNO,PREVACTIVITYCODE,NEXTACTIVITYCODE,LOCATIONCODE,LAG,LOCATIONTYPE,RELATIONTYPE
5466,E62CP000,W62COP00,62C,0,P,SS
5466,E62DP000,W62DOP00,62D,0,P,SS
5466,E62EP000,W62EOP00,62E,0,P,SS
5466,E62FP000,W62FOP00,62F,0,P,SS
5466,E62GP000,W62GOP00,62G,0,P,SS
5466,E62HP000,W62HOP00,62H,0,P,SS
5466,S631A000,W631GA00,631,1,B,FS
5466,S631A000,W631GC00,631,4,B,SS
5466,S632A000,W632GA00,632,1,B,FS
5466,S632A000,W632GC00,632,4,B,SS
5466,S633A000,W633GA00,633,-4,B,FS
5466,S633A000,W633GC00,633,4,B,SS
5466,S634A000,W634GA00,634,-4,B,FS
5466,S634A000,W634GC00,634,4,B,SS
5466,S635A000,W635GA00,635,-4,B,FS
5466,S635A000,W635GC00,635,4,B,SS
5466,S636A000,W636GA00,636,-1,B,FS
5466,S636A000,W636GC00,636,4,B,SS
5466,S637A000,W637GA00,637,-1,B,FS
5466,S637A000,W637GC00,637,4,B,SS
5466,S638A000,W638GA00,638,-1,B,FS
5466,S638A000,W638GC00,638,4,B,SS
5466,S639A000,W639GA00,639,-4,B,FS
5466,S639A000,W639GC00,639,4,B,SS
5466,E63AP000,W63AOP00,63A,0,P,SS
5466,E63CP000,W63COP00,63C,0,P,SS
5466,E63DP000,W63DOP00,63D,0,P,SS
5466,E63EP000,W63EOP00,63E,0,P,SS
5466,E63FP000,W63FOP00,63F,0,P,SS
5466,E63GP000,W63GOP00,63G,0,P,SS
5466,E63HP000,W63HOP00,63H,0,P,SS
5466,S641A000,W641GA00,641,-4,B,FS
5466,S641A000,W641GC00,641,4,B,SS
5466,S642A000,W642GA00,642,-4,B,FS
5466,S642A000,W642GC00,642,4,B,SS
5466,S643A000,W643GA00,643,-4,B,FS
5466,S643A000,W643GC00,643,4,B,SS
5466,S644A000,W644GA00,644,-4,B,FS
5466,S644A000,W644GC00,644,4,B,SS
5466,S651A000,W651GA00,651,-4,B,FS
5466,S651A000,W651GC00,651,4,B,SS
5466,S652A000,W652GA00,652,-4,B,FS
5466,S652A000,W652GC00,652,4,B,SS
5466,S653A000,W653GA00,653,-4,B,FS
5466,S653A000,W653GC00,653,4,B,SS
5466,S654A000,W654GA00,654,-4,B,FS
5466,S654A000,W654GC00,654,4,B,SS
5466,S661A000,W661GA00,661,1,B,FS
5466,S661A000,W661GC00,661,4,B,SS
5466,S671A000,W671GA00,671,1,B,FS
5466,S671A000,W671GC00,671,4,B,SS
5466,S721A000,W721GA00,721,-1,B,FS
5466,P721BP00,W721GL00,721,1,B,FS
5466,S722A000,W722GA00,722,-1,B,FS
5466,S723A000,W723GA00,723,-4,B,FS
5466,S723A000,W723GC00,723,4,B,SS
5466,S724A000,W724GA00,724,-4,B,FS
5466,S725A000,W725GA00,725,-4,B,FS
5466,S726A000,W726GA00,726,-4,B,FS
5466,S726A000,W726GC00,726,4,B,SS
5466,S727A000,W727GA00,727,-4,B,FS
5466,S728A000,W728GA00,728,-4,B,FS
5466,S728A000,W728GC00,728,4,B,SS
5466,S729A000,W729GA00,729,-4,B,FS
5466,S731A000,W731GA00,731,-1,B,FS
5466,P731BP00,W731GL00,731,1,B,FS
5466,S732A000,W732GA00,732,-1,B,FS
5466,S733A000,W733GA00,733,-4,B,FS
5466,S733A000,W733GC00,733,4,B,SS
5466,S734A000,W734GA00,734,-4,B,FS
5466,S735A000,W735GA00,735,-4,B,FS
5466,S736A000,W736GA00,736,-1,B,FS
5466,S736A000,W736GC00,736,4,B,SS
5466,S737A000,W737GA00,737,-4,B,FS
5466,S738A000,W738GA00,738,-4,B,FS
5466,S738A000,W738GC00,738,4,B,SS
5466,S739A000,W739GA00,739,-4,B,FS
5466,S741A000,W741GA00,741,-4,B,FS
5466,S742A000,W742GA00,742,-4,B,FS
