PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,DESCRIPTION,PLANDURATION,물량,단위, 작업장
5466,W641GA00,641,B,641 BLK A Stage 대조 의장 ('A'),14,326.5,KG,조립의장-상선관철
5466,W822GC00,822,B,822 BLK C Stage 중조 의장 ('C'),15,54.2,KG,조립의장-상선관철
5466,P237BC00,237,B,237 BLK B Stage 선행 도장 전처리,1,5576.92,M2,선행도장-상선-전처리
5466,C208CP00,208,B,208 BLK J Stage 절단 전처리,14,0,TON,가공-상선-전처리
5466,Z822ZBI0,822,B,822 BLK B Stage 발판 설치,1,123.3,매,발판지원-상선 일반발판
5466,P825BC00,825,B,825 BLK B Stage 선행 도장 전처리,1,1890.11,M2,선행도장-상선-전처리
5466,C438CP00,438,B,438 BLK J Stage 절단 전처리,8,0,TON,가공-상선-전처리
5466,C438CC00,438,B,438 BLK J Stage 절단,8,66.6,TON,가공-상선-절단
5466,S525A000,525,B,525 BLK B Stage 조립,13,2493.6,JL,조립1-PBS
5466,C723CC00,723,B,723 BLK J Stage 절단,14,227.1,TON,가공-상선-절단
5466,C836CC00,836,B,836 BLK J Stage 절단,19,127.9,TON,가공-상선-절단
5466,U124GB00,124,B,124 BLK B Stage UNIT 의장 ('B'),8,1,LOT,선행의장-상선 기장(기타:UNIT조립)
5466,W638GA00,638,B,638 BLK A Stage 대조 의장 ('A'),5,3227.4,KG,조립의장-상선관철
5466,Z638ZBR0,638,B,638 BLK B Stage 발판 해체,1,335.7,매,발판지원-상선 일반발판
5466,W921GB00,921,B,921 BLK B Stage 의장 ('B'),16,0,0,사외-선행의장-관철-신한기계-선실용
5466,Z561ZBI0,561,B,561 BLK B Stage 발판 설치,1,59,매,발판지원-상선 일반발판
5466,Z261ZBR0,261,B,261 BLK B Stage 발판 해체,2,252,매,발판지원-상선 일반발판
5466,W531GC00,531,B,531 BLK C Stage 중조 의장 ('C'),5,311.3,KG,조립의장-상선관철
5466,C991CC00,991,B,991 BLK J Stage 절단,36,0,TON,사외-가공 절단-신한기계-선실용
5466,S438A000,438,B,438 BLK B Stage 조립,9,624,JL,조립3-상선-NPS
5466,Z294ZBR0,294,B,294 BLK B Stage 발판 해체,1,185.2,매,발판지원-상선 일반발판
5466,C294CP00,294,B,294 BLK J Stage 절단 전처리,17,0,TON,가공-상선-전처리
5466,W628GC00,628,B,628 BLK C Stage 중조 의장 ('C'),7,742.3,KG,조립의장-상선관철
5466,Z229ZBR0,229,B,229 BLK B Stage 발판 해체,1,225,매,발판지원-상선 일반발판
5466,W104GS00,104,B,104 BLK S Stage 소조 의장 ('S'),5,12411.8,KG,조립의장-상선관철
5466,C552CP00,552,B,552 BLK J Stage 절단 전처리,12,0,TON,가공-상선-전처리
5466,P107BC00,107,B,107 BLK B Stage 선행 도장 전처리,1,330.28,M2,선행도장-상선-전처리
5466,P621BP01,621,B,621 BLK B Stage 선행 보수 도장,3,1,LOT,선행도장-상선-도장
5466,Z109ZBI0,109,B,109 BLK B Stage 발판 설치,2,232.2,매,발판지원-상선 일반발판
5466,P8X1BC00,8X1,B,8X1 BLK B Stage 선행 도장 전처리,1,1,LOT,사외-선행도장-해양-전처리-성원기업
5466,S741A000,741,B,741 BLK B Stage 조립,15,1646.7,JL,조립1-PBS
